Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
病人,床位,年轻,0.8776,0.7387,0.2705
血液科,夜班,以后,0.9475,0.73,0.1189
值班,睁不开,，,0.8166,0.39,0.1307
头晕眼花,宝宝,拍片,0.7735,0.5048,0.1409
同学们,老师,节日快乐,0.8721,0.8557,0.2271
想要,快乐,真正,0.8235,0.8011,0.7816
简单,快乐,打扰,0.8383,0.8248,0.5285
感觉,喜欢,仰望,0.8773,0.8451,0.7372
照镜子,举一反三,实验,0.8401,0.8399,0.4468
店里,店,真不错,0.9124,0.8704,0.4329
不惑,命题,小考,0.7809,0.6886,0.656
导尿管,病人,同事,0.8863,0.8764,0.132
有时候,多心,问,0.6853,0.6702,0.5637
共青团中央,共青,敬礼,0.8862,0.7957,0.7125
掐架,仓鼠,每日,0.8831,0.7803,0.7491
身体,硬朗,旅行,0.7762,0.7735,0.6217
美好,副总,会见,0.6993,0.5673,0.5184
医院,回去,码字,0.8833,0.1325,0.1261
坚强,一点点,想学,0.7911,0.7707,0.7074
老师,眼科,肌肉,0.6874,0.5405,0.4573
咖啡,葡萄酒,挺舒服,0.747,0.669,0.4188
容易,大人物,满月,0.8361,0.8131,0.7796
男人,真的,担当,0.8058,0.8029,0.63
骨科,老师,一路,0.771,0.3993,0.1726
女人,气头上,百分之,0.8328,0.7967,0.7125
坚持,自己,儿时,0.7898,0.7686,0.7395
离合器,失眠,故障,0.7661,0.6446,0.5174
莫名其妙,认识,信心,0.8191,0.7537,0.7506
身体健康,健康,重要,0.919,0.8639,0.449
慈善,轻快,感染,0.7503,0.7091,0.2998
喷血,有伤,只是,0.8878,0.4372,0.2675
医院,憧憬,的,0.8718,0.1516,0.0679
化疗药,医生,有没有,0.932,0.823,0.2926
不掉,冰冷,掉泪,0.8005,0.7858,0.7725
晴空万里,有暴风雨,蓝天,0.9183,0.8812,0.8532
大熊猫,蹄子,许,0.9023,0.8928,0.573
短裤,昨天晚上,座机,0.8618,0.7372,0.6071
再也,想来,。,0.7927,0.6413,0.3335
想要,机会,面目全非,0.8159,0.7706,0.76
血轮,眼,开,0.9567,0.346,0.0858
学医,学,真心话,0.9152,0.4217,0.1192
加油,老婆,一切,0.8316,0.792,0.7846
夜班,天一,到,0.8966,0.2587,0.073
真的,直嚷嚷,减,0.6953,0.6536,0.56
患者,正常,一般见识,0.8697,0.5532,0.2564
等待,难熬,风景,0.7775,0.6794,0.4639
水饺,香喷喷,午饭,0.8411,0.8009,0.7369
讨厌,喜欢,别人,0.8422,0.8332,0.7276
教会,超现实主义,形式,0.6817,0.5856,0.3661
人心,太少,秘史,0.8316,0.7822,0.7536
冷,真的,了,0.7631,0.7206,0.5602
突击,付出,个人,0.7808,0.6627,0.444
止痛药,肚子,猝不及防,0.7752,0.6881,0.6741
一辈子,不好,愈合,0.8361,0.7882,0.6557
从未,反顾,义无反顾,0.8336,0.746,0.6679
手术室,室外,茶馆,0.95,0.2125,-0.0779
生病,知道,在,0.9358,0.2106,0.0409
衣柜,商场,纠结,0.7244,0.5551,0.4621
