Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
生相,叶子,彼岸花,0.8192,0.781,0.7617
公园,游客止步,盆栽,0.6768,0.5594,0.3485
实到,有点,个,0.6727,0.478,0.336
公园,郊野,浦江,0.9065,0.4245,0.1912
慢慢,好看,来到,0.6857,0.6009,0.5943
余额,应景,多,0.8305,0.6502,0.5231
人人,我,0.8337,0.7657,,
等到,惊悚,莫名,0.7137,0.6939,0.6807
酒醉,随意,味道,0.7951,0.7445,0.716
高峰,服,这个,0.7062,0.6822,0.5086
真的,调色,练习,0.7752,0.7265,0.6252
校区,四年,不想,0.7548,0.556,0.4234
早上,爱,李女士,0.7715,0.6387,0.6178
上车,市区,蜀黍,0.8451,0.6283,0.4342
拥挤,工作人员,自动,0.8314,0.4846,0.4408
交通,每次,公共交通,0.8212,0.7419,0.6857
感冒,生日快乐,塞住,0.8539,0.6854,0.6842
山大,线,号,0.6736,0.6027,0.4936
树林,公路,老人,0.6636,0.5119,0.4998
地铁,下不来,高效率,0.7855,0.7468,0.5829
学习,回去,胳膊,0.6729,0.5983,0.3499
路过,地铁站,公路,0.7853,0.7293,0.6962
来不及,再见,好好,0.8676,0.8446,0.621
山顶洞人,连接,开,0.8533,0.6141,0.4565
真不知道,手机,没电,0.8272,0.758,0.6901
麻痹,手机,新浪,0.742,0.6741,0.559
中央台,传奇,中央,0.79,0.5792,0.539
睡觉,安眠药,一杯,0.7688,0.7197,0.6804
茶馆,流口水,问题,0.7152,0.3395,0.2327
有研,易经,有缘千里,0.6738,0.6172,0.5287
嫌弃,租房子,在家,0.7932,0.6623,0.6171
灿烂,健康,发射,0.7388,0.7151,0.3477
午休,算了,不到,0.7518,0.7306,0.7074
买,情侣装,。。。,0.7023,0.66,0.5019
越来越,水军,图,0.7968,0.7063,0.4747
不顺,迹象,衰神,0.8211,0.7762,0.7479
温水,奶粉,试试,0.7819,0.7479,0.6359
大红包,神女,从没,0.8814,0.8084,0.8021
玛雅,奥特曼,泡澡,0.8442,0.8208,0.7492
