Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
一节课,第一节,下周,0.9146,0.6599,0.4386
生理学家,心平气和,实验,0.7527,0.677,0.6117
菜,店,温泉,0.6478,0.5115,0.343
球迷,夜宵,开始,0.7191,0.4468,0.4089
回头率,搭,街头,0.8322,0.4408,0.4364
乐翻天,翻天,宝,0.7398,0.7377,0.4202
早早,醒来,开心,0.7245,0.7149,0.5808
牌子,爸,猪,0.7955,0.6029,0.5739
狗狗,路上,找,0.7302,0.6868,0.4306
夜泊,松鹤楼,干杯,0.7222,0.7066,0.6218
基站,套餐,降下来,0.7486,0.51,0.494
知足,身边,只不过,0.7431,0.731,0.584
夕阳西下,苏州,湾,0.8154,0.6209,0.3338
客人,设计,家猫,0.7144,0.5109,0.4724
天蝎座,挑衅,玩玩,0.6934,0.6549,0.4978
安全感,温暖,朋友,0.8024,0.7851,0.7096
装睡,感动,一个,0.7304,0.6045,0.4674
邪门,爱情,选项,0.6803,0.6459,0.5067
刹车盘,制动,紧急情况,0.8186,0.7342,0.6118
拍照,嘻嘻,图,0.8653,0.3735,0.3564
平平淡淡,早安,笨蛋,0.8594,0.7654,0.6105
园林,雪景,踏雪寻梅,0.7819,0.6851,0.5363
毕了业,没关系,匆匆忙忙,0.8237,0.6777,0.666
旅行,活下去,早熟,0.66,0.5539,0.476
遗忘,对方,可怕,0.7859,0.7014,0.6096
好了吗,消失,准备,0.7982,0.6138,0.5235
干净,保鲜袋,鞋子,0.6829,0.6289,0.4435
舞台,美好,感官,0.6568,0.5383,0.5382
三两米,健美,米饭,0.6363,0.636,0.3983
桃花开,桃花,。。。。,0.8109,0.6824,0.649
廊桥遗梦,靠近,所以,0.8803,0.4566,0.4411
知己,女人,悲观,0.7381,0.6593,0.6099
商业街,文化街,游客,0.7643,0.7386,0.4877
吵架,观众,俄罗斯,0.697,0.6668,0.6461
借口,前进,文章,0.6146,0.539,0.4507
风景,楼顶,等待,0.8036,0.3716,0.3487
水景,广场,。。。,0.7793,0.7644,0.2699
医生,站不起来,片尾曲,0.7708,0.5536,0.5179
老客户,品茶,迎新,0.8016,0.5483,0.362
电话筒,枕着,只要,0.8047,0.7626,0.5846
广场,俱乐部,会员卡,0.8081,0.546,0.4862
遇见,一起,朋友,0.796,0.7542,0.7324
太好了,妥协,做人,0.7806,0.6602,0.5846
风景,受折磨,停留,0.8537,0.4047,0.3507
动物,熊猫,草泥马,0.8466,0.4375,0.2799
温馨,强求,命运,0.7291,0.6775,0.5457
樱花,上方山,苏州,0.7606,0.6375,0.585
礼物,新年,思考,0.7741,0.6481,0.5778
性感,，《》：,喔,0.7442,0.6583,0.5806
一天天,打卡,小时,0.766,0.7124,0.633
哪里,正太,心情,0.5728,0.5496,0.5369
公山,玩,石,0.8744,0.4203,0.2261
哥哥,好,个,0.8608,0.5031,0.4568
火花,期待,玛丽莲,0.6819,0.6223,0.6159
